Drug_Name,Target_Gene,Target_Protein,Condition,Therapeutic_Class,Mechanism_of_Action,Clinical_Trial_Phase,Status
Drug_1,Gene_232,Protein_41,Psychosis,Glycine Modulator,Mechanism_89,Approved,Investigational
Drug_2,Gene_3,Protein_97,Depression,Atypical Antipsychotic,Mechanism_76,Phase 3,Experimental
Drug_3,Gene_55,Protein_11,Depression,SNRI,Mechanism_77,Preclinical,Investigational
Drug_4,Gene_27,Protein_194,Anxiety,Glycine Modulator,Mechanism_63,Phase 3,Investigational
Drug_5,Gene_366,Protein_196,Depression,Beta-Blocker,Mechanism_69,Phase 2,Investigational
Drug_6,Gene_280,Protein_189,Depression,NDRI,Mechanism_173,Phase 1,Experimental
Drug_7,Gene_138,Protein_291,Psychosis,Psychedelic,Mechanism_4,Phase 3,Experimental
Drug_8,Gene_466,Protein_128,Psychosis,Benzodiazepine,Mechanism_76,Approved,Investigational
Drug_9,Gene_119,Protein_82,Psychosis,NDRI,Mechanism_47,Phase 3,Investigational
Drug_10,Gene_267,Protein_228,Anxiety,Glycine Modulator,Mechanism_178,Approved,Experimental
Drug_11,Gene_419,Protein_28,Depression,Beta-Blocker,Mechanism_168,Phase 1,Approved
Drug_12,Gene_243,Protein_33,Depression,Beta-Blocker,Mechanism_62,Phase 3,Investigational
Drug_13,Gene_56,Protein_223,Depression,Glycine Modulator,Mechanism_10,Phase 2,Investigational
Drug_14,Gene_336,Protein_82,Depression,Orexin Antagonist,Mechanism_81,Approved,Experimental
Drug_15,Gene_5,Protein_191,Depression,Atypical Antipsychotic,Mechanism_150,Preclinical,Experimental
Drug_16,Gene_111,Protein_59,Psychosis,Atypical Antipsychotic,Mechanism_34,Phase 3,Experimental
Drug_17,Gene_90,Protein_198,Depression,Orexin Antagonist,Mechanism_106,Phase 2,Approved
Drug_18,Gene_158,Protein_211,Anxiety,Beta-Blocker,Mechanism_68,Phase 2,Approved
Drug_19,Gene_183,Protein_282,Depression,Glutamatergic Modulator,Mechanism_131,Phase 2,Investigational
Drug_20,Gene_298,Protein_213,Anxiety,Psychedelic,Mechanism_13,Preclinical,Investigational
Drug_21,Gene_275,Protein_269,Depression,Glutamatergic Modulator,Mechanism_64,Phase 3,Investigational
Drug_22,Gene_287,Protein_106,Depression,Benzodiazepine,Mechanism_140,Phase 2,Experimental
Drug_23,Gene_428,Protein_15,Depression,Benzodiazepine,Mechanism_139,Phase 1,Experimental
Drug_24,Gene_488,Protein_164,Depression,Benzodiazepine,Mechanism_140,Approved,Investigational
Drug_25,Gene_441,Protein_281,Anxiety,Azapirone,Mechanism_11,Phase 1,Experimental
Drug_26,Gene_202,Protein_147,Psychosis,Beta-Blocker,Mechanism_118,Approved,Experimental
Drug_27,Gene_101,Protein_297,Depression,Benzodiazepine,Mechanism_181,Approved,Experimental
Drug_28,Gene_70,Protein_226,Psychosis,NaSSA,Mechanism_106,Phase 3,Approved
Drug_29,Gene_108,Protein_260,Depression,Orexin Antagonist,Mechanism_191,Preclinical,Experimental
