Drug Name,Drug Class,Target,Mechanism of Action,Indication,Approval Year,Common Side Effects,Relevant Studies
Drug 1,SSRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,1961,Diarrhea,Brown et al. (2023)
Drug 2,NDRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Schizophrenia,1994,Nursea,Parker et al. (2022)
Drug 3,Atypical Antipsychotic,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Anxiety,1981,"Nursea, Insomnia, Somolence",Garcia et al. (2020)
Drug 4,Anxiolytic,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",OCD,2022,"Somolence, Diarrhea, Weight Gain",white et al. (2021)
Drug 5,TCA,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,1991,"Diarrhea, Somolence, Drowsiness",Johnson et al. (2019)
Drug 6,Atypical Antipsychotic,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",Anxiety,1960,"Headache, Nursea",Johnson et al. (2019)
Drug 7,SARI,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Schizophrenia,1976,"Nursea, Weight Gain",Garcia et al. (2020)
Drug 8,NDRI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Schizophrenia,1997,Nursea,Johnson et al. (2019)
Drug 9,NaSSA,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,1983,"Insomnia, Dry Mouth, Nursea",Garcia et al. (2020)
Drug 10,Atypical Antipsychotic,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,1971,"Diarrhea, Weight Gain, Drowsiness",Parker et al. (2022)
Drug 11,NDRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Panic Disorder,2012,"Weight Gain, Headache, Insomnia",Davis et al. (2021)
Drug 12,Anxiolytic,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Depression,1995,Fatigue,Johnson et al. (2019)
